date,mpu10
11/30/1993,1.059947057
12/1/1993,1.061870108
12/2/1993,1.030593743
12/3/1993,1.029704515
12/6/1993,1.030533145
12/7/1993,1.037971889
12/8/1993,1.035673905
12/9/1993,1.02644226
12/10/1993,1.022779238
12/13/1993,1.026265018
12/14/1993,1.01440913
12/15/1993,0.952450372
12/16/1993,0.919091561
12/17/1993,0.938339164
12/20/1993,0.958793954
12/21/1993,0.986359813
12/22/1993,0.981426199
12/23/1993,0.961826811
12/27/1993,0.971508451
12/28/1993,0.966238502
12/29/1993,0.978875821
12/30/1993,1.005233985
12/31/1993,1.009350268
1/3/1994,1.058944032
1/4/1994,1.039350706
1/5/1994,1.053722244
1/6/1994,1.013116103
1/7/1994,0.946694408
1/10/1994,0.938685674
1/11/1994,0.935741689
1/12/1994,0.921436938
1/13/1994,0.944823233
1/14/1994,0.962015168
1/17/1994,0.969600672
1/18/1994,0.959558241
1/19/1994,0.936804697
1/20/1994,0.891467492
1/21/1994,0.887552396
1/24/1994,0.884314729
1/25/1994,0.885514528
1/26/1994,0.888596767
1/27/1994,0.887285957
1/28/1994,0.880518159
1/31/1994,0.87729813
2/1/1994,0.908564517
2/2/1994,0.924521462
2/3/1994,0.958110238
2/4/1994,0.990121634
2/7/1994,0.992263496
2/8/1994,0.960367875
2/9/1994,0.93897831
2/10/1994,0.935023755
2/11/1994,0.928616847
2/14/1994,0.920153984
2/15/1994,0.908914205
2/16/1994,0.890204359
2/17/1994,0.920129142
2/18/1994,0.961901622
2/22/1994,0.969428007
2/23/1994,0.993158432
2/24/1994,1.015269591
2/25/1994,0.998553019
2/28/1994,0.990592717
3/1/1994,1.037877308
3/2/1994,1.078827403
3/3/1994,1.088999008
3/4/1994,1.140162946
3/7/1994,1.137474428
3/8/1994,1.151462785
3/9/1994,1.193640605
3/10/1994,1.243335591
3/11/1994,1.231820907
3/14/1994,1.236081783
3/15/1994,1.214658605
3/16/1994,1.157570083
3/17/1994,1.14710448
3/18/1994,1.172291333
3/21/1994,1.201879136
3/22/1994,1.130802243
3/23/1994,1.128377865
3/24/1994,1.190379266
3/25/1994,1.174334545
3/28/1994,1.183617665
